16666us
9862700ns,6803300ns,16666us
8730900ns,7935100ns,16666us
9504100ns,7161900ns,16666us
9730500ns,6935500ns,16666us
9954100ns,6711900ns,16666us
9163200ns,7502800ns,16666us
8914600ns,7751400ns,16666us
10593400ns,6072600ns,16666us
9822400ns,6843600ns,16666us
8869100ns,7796900ns,16666us
10845600ns,5820400ns,16666us
8623700ns,8042300ns,16666us
10249000ns,6417000ns,16666us
9094900ns,7571100ns,16666us
10896100ns,5769900ns,16666us
9730500ns,6935500ns,16666us
10607000ns,6059000ns,16666us
13250000ns,3416000ns,16666us
9363800ns,7302200ns,16666us
9803400ns,6862600ns,16666us
9357900ns,7308100ns,16666us
10110000ns,6556000ns,16666us
11470500ns,5195500ns,16666us
10278300ns,6387700ns,16666us
17031000ns,-365000ns,16666us
8140400ns,8525600ns,16666us
9292500ns,7373500ns,16666us
8507900ns,8158100ns,16666us
10829600ns,5836400ns,16666us
8782900ns,7883100ns,16666us
11160100ns,5505900ns,16666us
10053500ns,6612500ns,16666us
9627200ns,7038800ns,16666us
8819600ns,7846400ns,16666us
9006800ns,7659200ns,16666us
11366800ns,5299200ns,16666us
9647300ns,7018700ns,16666us
8490200ns,8175800ns,16666us
24873200ns,-8207200ns,16666us
14833500ns,1832500ns,16666us
13953900ns,2712100ns,16666us
13208100ns,3457900ns,16666us
12349100ns,4316900ns,16666us
14106300ns,2559700ns,16666us
18624800ns,-1958800ns,16666us
19829000ns,-3163000ns,16666us
16455800ns,210200ns,16666us
11636900ns,5029100ns,16666us
22795800ns,-6129800ns,16666us
45422600ns,-28756600ns,16666us
35200800ns,-18534800ns,16666us
17561900ns,-895900ns,16666us
22601900ns,-5935900ns,16666us
13237400ns,3428600ns,16666us
22819500ns,-6153500ns,16666us
14984300ns,1681700ns,16666us
12101400ns,4564600ns,16666us
18701100ns,-2035100ns,16666us
15271900ns,1394100ns,16666us
17950800ns,-1284800ns,16666us
12121400ns,4544600ns,16666us
13327700ns,3338300ns,16666us
14684900ns,1981100ns,16666us
16122200ns,543800ns,16666us
12034100ns,4631900ns,16666us
17711200ns,-1045200ns,16666us
19917000ns,-3251000ns,16666us
15562900ns,1103100ns,16666us
12425500ns,4240500ns,16666us
14184900ns,2481100ns,16666us
13440000ns,3226000ns,16666us
12698900ns,3967100ns,16666us
10539600ns,6126400ns,16666us
10539900ns,6126100ns,16666us
9435000ns,7231000ns,16666us
12609000ns,4057000ns,16666us
10020800ns,6645200ns,16666us
9792300ns,6873700ns,16666us
8896000ns,7770000ns,16666us
9675600ns,6990400ns,16666us
8773000ns,7893000ns,16666us
10473900ns,6192100ns,16666us
9596300ns,7069700ns,16666us
12643700ns,4022300ns,16666us
9074400ns,7591600ns,16666us
10506600ns,6159400ns,16666us
9406000ns,7260000ns,16666us
9661300ns,7004700ns,16666us
12327000ns,4339000ns,16666us
9816400ns,6849600ns,16666us
7756200ns,8909800ns,16666us
14831700ns,1834300ns,16666us
10520200ns,6145800ns,16666us
10009700ns,6656300ns,16666us
8155300ns,8510700ns,16666us
9194100ns,7471900ns,16666us
9112900ns,7553100ns,16666us
10956600ns,5709400ns,16666us
14283200ns,2382800ns,16666us
10944500ns,5721500ns,16666us
8870200ns,7795800ns,16666us
9351400ns,7314600ns,16666us
8968000ns,7698000ns,16666us
10067400ns,6598600ns,16666us
8475000ns,8191000ns,16666us
9797900ns,6868100ns,16666us
8649900ns,8016100ns,16666us
9460000ns,7206000ns,16666us
9230500ns,7435500ns,16666us
9805200ns,6860800ns,16666us
8434500ns,8231500ns,16666us
10325100ns,6340900ns,16666us
9079000ns,7587000ns,16666us
10079200ns,6586800ns,16666us
9029400ns,7636600ns,16666us
10687900ns,5978100ns,16666us
8441300ns,8224700ns,16666us
9644800ns,7021200ns,16666us
9513200ns,7152800ns,16666us
9574800ns,7091200ns,16666us
8490400ns,8175600ns,16666us
9719800ns,6946200ns,16666us
9897400ns,6768600ns,16666us
9708900ns,6957100ns,16666us
9270500ns,7395500ns,16666us
14687200ns,1978800ns,16666us
10194100ns,6471900ns,16666us
9512200ns,7153800ns,16666us
7990900ns,8675100ns,16666us
10667200ns,5998800ns,16666us
9103500ns,7562500ns,16666us
12196600ns,4469400ns,16666us
14033400ns,2632600ns,16666us
9377700ns,7288300ns,16666us
8655800ns,8010200ns,16666us
9714700ns,6951300ns,16666us
9183500ns,7482500ns,16666us
10108000ns,6558000ns,16666us
8927300ns,7738700ns,16666us
13379500ns,3286500ns,16666us
9458000ns,7208000ns,16666us
9153100ns,7512900ns,16666us
8385400ns,8280600ns,16666us
9356800ns,7309200ns,16666us
8839000ns,7827000ns,16666us
9545900ns,7120100ns,16666us
11431800ns,5234200ns,16666us
8770500ns,7895500ns,16666us
8587000ns,8079000ns,16666us
9497700ns,7168300ns,16666us
9125900ns,7540100ns,16666us
9234100ns,7431900ns,16666us
8764500ns,7901500ns,16666us
17133800ns,-467800ns,16666us
9122000ns,7544000ns,16666us
9685300ns,6980700ns,16666us
8747600ns,7918400ns,16666us
9924400ns,6741600ns,16666us
9533900ns,7132100ns,16666us
9011900ns,7654100ns,16666us
8727700ns,7938300ns,16666us
10022000ns,6644000ns,16666us
10059000ns,6607000ns,16666us
8743000ns,7923000ns,16666us
9339100ns,7326900ns,16666us
8812200ns,7853800ns,16666us
8276000ns,8390000ns,16666us
9485400ns,7180600ns,16666us
9543500ns,7122500ns,16666us
9957600ns,6708400ns,16666us
8939400ns,7726600ns,16666us
9554000ns,7112000ns,16666us
8618700ns,8047300ns,16666us
9336300ns,7329700ns,16666us
8496200ns,8169800ns,16666us
9905200ns,6760800ns,16666us
9133900ns,7532100ns,16666us
9342600ns,7323400ns,16666us
12156100ns,4509900ns,16666us
9327000ns,7339000ns,16666us
8972400ns,7693600ns,16666us
9223700ns,7442300ns,16666us
9063400ns,7602600ns,16666us
9297500ns,7368500ns,16666us
11447000ns,5219000ns,16666us
11984900ns,4681100ns,16666us
8094800ns,8571200ns,16666us
9138600ns,7527400ns,16666us
8788600ns,7877400ns,16666us
9682400ns,6983600ns,16666us
8215600ns,8450400ns,16666us
10793100ns,5872900ns,16666us
9634700ns,7031300ns,16666us
9579800ns,7086200ns,16666us
8650900ns,8015100ns,16666us
15823600ns,842400ns,16666us
11744000ns,4922000ns,16666us
9946000ns,6720000ns,16666us
8602700ns,8063300ns,16666us
11706000ns,4960000ns,16666us
9602600ns,7063400ns,16666us
9565800ns,7100200ns,16666us
12223300ns,4442700ns,16666us
8925800ns,7740200ns,16666us
7666300ns,8999700ns,16666us
9934400ns,6731600ns,16666us
9591000ns,7075000ns,16666us
9146700ns,7519300ns,16666us
8896000ns,7770000ns,16666us
9395000ns,7271000ns,16666us
8086600ns,8579400ns,16666us
8858200ns,7807800ns,16666us
9228900ns,7437100ns,16666us
9821800ns,6844200ns,16666us
8631700ns,8034300ns,16666us
10506200ns,6159800ns,16666us
7943400ns,8722600ns,16666us
9024100ns,7641900ns,16666us
8538700ns,8127300ns,16666us
9046500ns,7619500ns,16666us
9532700ns,7133300ns,16666us
8822400ns,7843600ns,16666us
11122900ns,5543100ns,16666us
